PublicationYear,PublicationDate,Journal,Title,Authors,DOI,LandingPageUrl,OpenAlexWorkId
2022,2022-10-01,ISAFM,Increasing the utility of performance audit reports: Using textual analytics tools to improve government reporting,Huijue Kelly Duan; Hanxin Hu; Yangin Yoon; Miklos A. Vasarhelyi,https://doi.org/10.1002/isaf.1526,https://doi.org/10.1002/isaf.1526,https://openalex.org/W4311819524
2022,2022-09-01,JETA,The Case for an App-Based Financial Reporting System,Michael Alles; Rimona Palas; Miklos A. Vasarhelyi; Fangbing Xiong,https://doi.org/10.2308/jeta-10827,https://doi.org/10.2308/jeta-10827,https://openalex.org/W4320803757
2022,2022-08-11,IJAIS,Continuous monitoring with machine learning and interactive data visualization: An application to a healthcare payroll process,Guangyue Zhang; Hilal Atasoy; Miklos A. Vasarhelyi,https://doi.org/10.1016/j.accinf.2022.100570,https://doi.org/10.1016/j.accinf.2022.100570,https://openalex.org/W4291002748
2022,2022-08-09,IJAIS,"Issues, risks, and challenges for auditing crypto asset transactions",Sheng-Feng Hsieh; Gerard Brennan,https://doi.org/10.1016/j.accinf.2022.100569,https://doi.org/10.1016/j.accinf.2022.100569,https://openalex.org/W4293327385
2022,2022-08-06,IJAIS,Text Visual Analysis in Auditing: Data Analytics for Journal Entries Testing,Heejae Lee; Lu Zhang; Qi Liu; Miklos A. Vasarhelyi,https://doi.org/10.1016/j.accinf.2022.100571,https://doi.org/10.1016/j.accinf.2022.100571,https://openalex.org/W4294436691
2022,2022-08-01,IJAIS,Explainable Artificial Intelligence (XAI) in auditing,Chanyuan Zhang; Soohyun Cho; Miklos A. Vasarhelyi,https://doi.org/10.1016/j.accinf.2022.100572,https://doi.org/10.1016/j.accinf.2022.100572,https://openalex.org/W4289222705
2022,2022-07-29,JETA,"Industry 4.0-Enabled Environment, Social, and Governance Reporting: A Case from a Chinese Energy Company",Wenjun Yu; Yu Gu; Jun Dai,https://doi.org/10.2308/jeta-2022-014,https://doi.org/10.2308/jeta-2022-014,https://openalex.org/W4288707163
2022,2022-03-01,JETA,The Rise of Accounting: Making Accounting Information Relevant Again with Exogenous Data,Arion Cheong; Huijue Kelly Duan; Qing Huang; Miklos A. Vasarhelyi; Chanyuan Abigail Zhang,https://doi.org/10.2308/jeta-10812,https://doi.org/10.2308/jeta-10812,https://openalex.org/W4288767511
2021,2021-11-05,JIS,Attended Process Automation in Audit: A Framework and A Demonstration,Chanyuan Zhang; Chanta Thomas; Miklos A. Vasarhelyi,https://doi.org/10.2308/isys-2020-073,https://doi.org/10.2308/isys-2020-073,https://openalex.org/W3211736643
2021,2021-09-01,JETA,The Transformation of Government Accountability and Reporting,Irfan Bora; Huijue Kelly Duan; Miklos A. Vasarhelyi; Chanyuan Zhang; Jun Dai,https://doi.org/10.2308/jeta-10780,https://doi.org/10.2308/jeta-10780,https://openalex.org/W4205309158
2021,2021-07-23,IJAIS,Design and evaluation of an advanced continuous data level auditing system: A three-layer structure,Kyunghee Yoon; Yue Liu; Tiffany Chiu; Miklos A. Vasarhelyi,https://doi.org/10.1016/j.accinf.2021.100524,https://doi.org/10.1016/j.accinf.2021.100524,https://openalex.org/W3183139774
2021,2021-07-19,JIS,Applications of Data Analytics: Cluster Analysis of Not-for-Profit Data,Zamil S. Alzamil; Deniz Appelbaum; William Glasgall; Miklos A. Vasarhelyi,https://doi.org/10.2308/isys-2020-025,https://doi.org/10.2308/isys-2020-025,https://openalex.org/W3211901932
2021,2021-06-22,JETA,Basics of SQL for Audit Data Retrieval and Analysis,Nuriddin Tojiboyev; Deniz Appelbaum; Alexander Kogan; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2020-021,https://doi.org/10.2308/jeta-2020-021,https://openalex.org/W3176560111
2021,2021-06-16,JETA,Dynamic View of Pandemic Circumstances with Government Interventions and Socioeconomic Factors,Wenru Wang; Miklos A. Vasarhelyi; Marcelo Machado de Freitas; Fabrícia Silva da Rosa,https://doi.org/10.2308/jeta-2020-078,https://doi.org/10.2308/jeta-2020-078,https://openalex.org/W3169066205
2021,2021-03-01,JETA,Reporting 4.0: Business Reporting for the Age of Mass Customization,Michael Alles; Jun Dai; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-10764,https://doi.org/10.2308/jeta-10764,https://openalex.org/W3164398911
2020,2020-12-01,IJAIS,Using the 2019 JBE conference and 2017 JIS themed issue as natural experiments to examine the role of editors as gatekeepers of the research literature in AIS and ethics,Michael Alles,https://doi.org/10.1016/j.accinf.2020.100489,https://doi.org/10.1016/j.accinf.2020.100489,https://openalex.org/W3109489251
2020,2020-11-01,JETA,Annual Editor Report,Miklos A. Vasarhelyi; Hui Du,https://doi.org/10.2308/jeta-10796,https://doi.org/10.2308/jeta-10796,https://openalex.org/W4247982106
2020,2020-10-07,JETA,Measuring a Business's Grit and Survivability when Faced with “Black Swan” Events Like the Coronavirus Pandemic,Glen L. Gray; Michael Alles,https://doi.org/10.2308/jeta-2020-060,https://doi.org/10.2308/jeta-2020-060,https://openalex.org/W3091784917
2020,2020-10-05,JETA,Accounting Implications of Blockchain: A Hyperledger Composer Use Case for Intangible Assets,Kimberly Swanson Church; Sean Stein Smith; Ethan Kinory,https://doi.org/10.2308/jeta-19-11-01-43,https://doi.org/10.2308/jeta-19-11-01-43,https://openalex.org/W3092477525
2020,2020-09-30,JETA,Accessing Cloud Data to Expand Research and Analytical Opportunities: An Example using IRS/AWS Data for Nonprofit Organizations,Chengzhang Wu; Richard B. Dull,https://doi.org/10.2308/jeta-18-12-29-28,https://doi.org/10.2308/jeta-18-12-29-28,https://openalex.org/W4205464269
2020,2020-09-21,JETA,Continuous Intelligent Pandemic Monitoring (CIPM),Huijue Kelly Duan; Hanxin Hu,https://doi.org/10.2308/jeta-2020-061,https://doi.org/10.2308/jeta-2020-061,https://openalex.org/W3087930449
2020,2020-09-21,JETA,Using the Creation of an XBRL Risk Taxonomy as a Driver to Improve Post-Coronavirus 10-K Risk Disclosures,Michael Alles,https://doi.org/10.2308/jeta-2020-057,https://doi.org/10.2308/jeta-2020-057,https://openalex.org/W3088942041
2020,2020-09-01,JETA,Continuous Audit Intelligence as a Service (CAIaaS) and Intelligent App Recommendations,Jun Dai; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-10751,https://doi.org/10.2308/jeta-10751,https://openalex.org/W3113602295
2020,2020-08-27,JIS,Classifying the Contents of Cybersecurity Risk Disclosure through Textual Analysis and Factor Analysis,Arion Cheong; Kyunghee Yoon; Soohyun Cho; Won Gyun No,https://doi.org/10.2308/isys-2020-031,https://doi.org/10.2308/isys-2020-031,https://openalex.org/W3081639134
2020,2020-08-24,JETA,Continuous Audit Implementation at Cia. Hering in Brazil,Maurí­cio Mello Codesso; Marcelo Machado de Freitas; Xinxin Wang; Alecsandra de Carvalho; Aldori Acácio da Silva Filho,https://doi.org/10.2308/jeta-2020-006,https://doi.org/10.2308/jeta-2020-006,https://openalex.org/W3117124095
2020,2020-08-18,JETA,A Model to Integrate Data Analytics in the Undergraduate Accounting Curriculum,Amer Qasim; Hussein Issa; Ghaleb A. El Refae; Alexander J. Sannella,https://doi.org/10.2308/jeta-2020-001,https://doi.org/10.2308/jeta-2020-001,https://openalex.org/W3070476067
2020,2020-07-13,IJAIS,“The first mile problem”: Deriving an endogenous demand for auditing in blockchain-based business processes,Michael Alles; Glen L. Gray,https://doi.org/10.1016/j.accinf.2020.100465,https://doi.org/10.1016/j.accinf.2020.100465,https://openalex.org/W3042573058
2020,2020-06-30,JIS,Privacy-Preserving Information Sharing within an Audit Firm,Alexander Kogan; Cheng Yin,https://doi.org/10.2308/isys-2020-017,https://doi.org/10.2308/isys-2020-017,https://openalex.org/W3126008086
2020,2020-06-24,JIS,Cloud Computing Start-ups and Emerging Technologies: From Private Investors' Perspectives,Cong Yu; Hui Du; Miklos A. Vasarhelyi,https://doi.org/10.2308/isys-17-040,https://doi.org/10.2308/isys-17-040,https://openalex.org/W3037499921
2020,2020-04-27,IJAIS,Big data and algorithmic trading against periodic and tangible asset reporting: The need for U-XBRL,Duo Pei; Miklos A. Vasarhelyi,https://doi.org/10.1016/j.accinf.2020.100453,https://doi.org/10.1016/j.accinf.2020.100453,https://openalex.org/W3018406296
